#{"t_start": 1652661317.3871212, "env_id": "NovelGridworld-v0"}
r,l,t
278,10,49.0574
267,13,49.0874
281,9,49.105401
222,9,49.1204
281,9,49.1394
275,11,49.160399
222,9,49.1814
278,10,49.2014
278,10,49.221399
281,9,49.2384
219,10,49.2624
281,9,49.2814
278,10,49.3024
222,9,49.3214
278,10,49.355401
281,9,49.3714
281,9,49.3904
281,9,49.4114
281,9,49.4304
281,9,49.449399
272,12,49.471399
219,10,49.4914
219,10,49.5144
278,10,49.5334
278,10,49.5524
199,15,49.5844
278,10,49.6044
278,10,49.6234
278,10,49.642399
219,10,49.6624
281,9,49.6844
278,10,49.703398
386,22,49.7454
281,9,49.7664
278,10,49.7864
281,9,49.8054
219,10,49.8244
219,10,49.8464
219,10,49.8664
284,8,49.8814
275,11,49.9054
219,10,49.9284
281,9,49.9434
278,10,49.963399
219,10,49.9834
284,8,50.0004
222,9,50.0224
284,8,50.0374
278,10,50.0564
278,10,50.0764
390,20,50.1204
390,20,50.1594
303,15,50.1904
390,20,50.230401
273,11,50.2544
281,9,50.274401
222,9,50.294399
281,9,50.3124
284,8,50.3294
275,11,50.3504
278,10,50.3724
275,11,50.3934
219,10,50.4174
365,25,50.4664
222,9,50.4854
219,10,50.5084
278,10,50.5274
390,20,50.566399
278,10,50.5884
281,9,50.606399
219,10,50.6254
278,10,50.6454
387,21,50.6894
219,10,50.7094
275,11,50.7304
278,10,50.7494
278,10,50.772401
281,9,50.791399
281,9,50.8104
222,9,50.825399
275,11,50.853399
222,9,50.8684
281,9,50.8854
275,11,50.9064
272,12,50.9344
219,10,50.954401
281,9,50.9734
284,8,50.986985
281,9,51.003985
281,9,51.025985
281,9,51.044986
284,8,51.058985
278,10,51.079984
281,9,51.100986
278,10,51.121986
390,20,51.161985
281,9,51.180985
278,10,51.203984
281,9,51.221985
219,10,51.240986
222,9,51.257986
278,10,51.281986
278,10,51.299985
284,8,51.317985
219,10,51.337985
219,10,51.360984
390,20,51.399985
278,10,51.434985
278,10,51.453986
284,8,51.470985
222,9,51.484985
390,20,51.526985
278,10,51.546985
284,8,51.562985
222,9,51.583985
222,9,51.602985
281,9,51.617985
222,9,51.636985
390,20,51.676984
219,10,51.696985
275,11,51.717985
281,9,51.736985
278,10,51.758984
275,11,51.780985
387,21,51.824984
284,8,51.838985
275,11,51.862985
281,9,51.880986
281,9,51.898985
222,9,51.916985
281,9,51.938985
278,10,51.957985
387,21,51.998984
219,10,52.018986
281,9,52.039985
281,9,52.054986
278,10,52.074985
308,17,52.115984
278,10,52.138986
284,8,52.154985
281,9,52.175986
278,10,52.198986
278,10,52.218985
284,8,52.234985
275,11,52.255985
275,11,52.281985
284,8,52.300985
387,21,52.341985
390,20,52.381984
284,8,52.397985
281,9,52.412986
278,10,52.435985
387,21,52.478986
219,10,52.497986
275,11,52.522986
281,9,52.540986
281,9,52.555986
222,9,52.573985
387,21,52.614985
281,9,52.633984
278,10,52.652984
387,21,52.696986
284,8,52.713985
278,10,52.732985
387,21,52.774985
387,21,52.814986
219,10,52.833986
387,21,52.878985
387,21,52.919986
222,9,52.941985
281,9,52.957985
275,11,52.980986
222,9,52.995986
281,9,53.014985
222,9,53.036985
281,9,53.055985
387,21,53.094984
219,10,53.119986
278,10,53.139985
219,10,53.159985
278,10,53.178984
278,10,53.200985
222,9,53.218985
222,9,53.237985
216,11,53.259986
219,10,53.282985
390,20,53.322984
386,22,53.368984
278,10,53.388986
390,20,53.429985
284,8,53.447985
222,9,53.484985
278,10,53.505985
278,10,53.528985
278,10,53.548985
219,10,53.567984
278,10,53.587987
390,20,53.626985
219,10,53.645986
281,9,53.660985
281,9,53.679985
219,10,53.703985
281,9,53.721985
222,9,53.740985
284,8,53.754985
281,9,53.777985
219,10,53.796986
301,17,53.833985
219,10,53.854985
272,12,53.878984
284,8,53.895985
244,15,53.925985
281,9,53.943986
387,21,53.985984
390,20,54.022986
284,8,54.039985
219,10,54.060987
219,10,54.080985
390,20,54.123985
281,9,54.142985
387,21,54.182985
222,9,54.205985
390,20,54.244986
281,9,54.263986
281,9,54.285984
278,10,54.306985
387,21,54.347986
281,9,54.365985
278,10,54.387985
303,15,54.416986
387,21,54.460985
202,14,54.488985
390,20,54.528985
284,8,54.542985
281,9,54.562985
284,8,54.578985
278,10,54.600986
281,9,54.614986
281,9,54.632985
281,9,54.649985
278,10,54.668985
275,11,54.691985
281,9,54.710985
281,9,54.727983
390,20,54.765985
278,10,54.788985
222,9,54.806985
281,9,54.822985
387,21,54.869984
275,11,54.891985
284,8,54.905986
219,10,54.924985
222,8,54.946985
387,21,54.986985
390,20,55.023985
284,8,55.045984
278,10,55.064985
278,10,55.083986
281,9,55.102985
390,20,55.145984
281,9,55.160985
281,9,55.178986
281,9,55.196985
284,8,55.216985
387,21,55.256985
303,15,55.289986
281,9,55.308985
222,8,55.322985
278,10,55.342986
284,8,55.360988
284,8,55.376985
278,10,55.396985
281,9,55.416984
278,10,55.441985
390,20,55.480985
222,9,55.499985
219,10,55.519986
275,11,55.562985
222,9,55.582986
275,11,55.603985
281,9,55.626985
216,11,55.646986
219,10,55.667985
387,21,55.709985
390,20,55.747986
219,10,55.767985
387,21,55.813985
387,21,55.853986
284,8,55.871986
281,9,55.890985
284,8,55.908985
284,8,55.922984
272,12,55.949985
219,10,55.970985
278,10,55.990611
219,10,56.009611
275,11,56.03161
284,8,56.05161
281,9,56.06661
281,9,56.08561
219,10,56.105611
278,10,56.128611
222,9,56.147611
284,8,56.16461
219,10,56.185611
278,10,56.205611
278,10,56.226611
281,9,56.241611
275,11,56.265611
284,8,56.280612
390,20,56.32461
278,10,56.345611
222,9,56.363611
219,10,56.38661
222,9,56.406611
278,10,56.427611
278,10,56.45061
284,8,56.465611
278,10,56.48561
278,10,56.505611
281,9,56.52461
278,10,56.547609
222,9,56.566611
278,10,56.58761
281,9,56.60661
278,10,56.630205
275,11,56.652204
281,9,56.671205
219,10,56.692205
281,9,56.719207
387,21,56.873206
278,10,56.899206
281,9,56.918205
390,20,56.953204
303,15,56.985205
278,10,57.005205
278,10,57.023205
284,8,57.036205
390,20,57.078205
284,8,57.094205
275,11,57.115205
278,10,57.135204
390,20,57.176204
281,9,57.193203
281,9,57.210205
219,10,57.230205
278,10,57.251204
284,8,57.265205
390,20,57.302771
390,20,57.34477
275,11,57.365769
278,10,57.38477
219,10,57.40477
284,8,57.42377
281,9,57.442769
275,11,57.46577
278,10,57.48577
222,9,57.50477
275,11,57.52577
281,9,57.54777
278,10,57.56877
278,10,57.588769
281,9,57.608768
222,9,57.628769
222,9,57.65077
278,10,57.67377
284,8,57.69277
219,10,57.71477
278,10,57.74777
278,10,57.76677
387,21,57.80977
284,8,57.82677
278,10,57.845771
222,9,57.860769
219,10,57.882769
278,10,57.90377
275,11,57.92877
278,10,57.94877
278,10,57.97377
387,21,58.01277
278,10,58.03277
275,11,58.05677
278,10,58.07677
284,8,58.09377
281,9,58.10977
278,10,58.13277
387,21,58.176769
278,10,58.195769
281,9,58.21177
278,10,58.233768
278,10,58.25377
222,9,58.273769
387,21,58.31877
278,10,58.33877
284,8,58.355769
281,9,58.37477
390,20,58.41577
278,10,58.43577
281,9,58.45777
387,21,58.49677
281,9,58.51577
219,10,58.535769
284,8,58.552771
284,8,58.569768
390,20,58.60777
278,10,58.62977
219,10,58.65277
278,10,58.67177
219,10,58.69077
222,9,58.71177
390,20,58.749769
278,10,58.76977
278,10,58.78977
278,10,58.812769
278,10,58.83177
303,15,58.85877
281,9,58.87477
281,9,58.89677
281,9,58.91477
387,21,58.95577
284,8,58.97577
281,9,58.99477
281,9,59.01077
281,9,59.028771
387,21,59.07377
281,9,59.091769
281,9,59.11077
284,8,59.126769
219,10,59.14977
219,10,59.17077
281,9,59.18677
216,11,59.21177
278,10,59.23577
200,14,59.260768
230,9,59.27877
230,9,59.29677
-5907,1581,62.405351
278,10,62.42735
281,9,62.446349
284,8,62.46235
219,10,62.48535
278,10,62.505351
278,10,62.524351
284,8,62.53835
278,10,62.55835
293,19,62.59935
219,10,62.619351
284,8,62.63635
219,10,62.65935
278,10,62.67935
281,9,62.693351
219,10,62.713351
303,15,62.741349
219,10,62.76335
278,10,62.78435
222,9,62.802351
216,11,62.82535
278,10,62.84635
