#{"t_start": 1615009006.4983943, "env_id": "NovelGridworld-v0"}
r,l,t
46,5,18.818115
48,3,18.822308
46,5,18.828924
48,3,18.833159
48,3,18.84315
44,7,18.849487
48,3,18.853153
50,1,18.854853
50,1,18.856543
35,16,18.872101
39,12,18.883618
42,9,18.893761
42,9,18.905376
45,6,18.913469
47,4,18.918292
42,9,18.929632
50,1,18.931929
4,47,19.002556
45,6,19.010852
50,1,19.013096
45,6,19.022614
48,3,19.027917
38,13,19.045315
50,1,19.047711
39,12,19.062417
48,3,19.065773
43,8,19.072964
45,6,19.079579
49,2,19.082188
43,8,19.091693
34,17,19.112899
44,7,19.120796
50,1,19.122629
38,13,19.156351
47,4,19.160331
50,1,19.162012
48,3,19.165353
35,16,19.181638
44,7,19.18979
40,11,19.202603
39,12,19.219141
42,9,19.231202
45,6,19.242339
43,8,19.249523
39,12,19.261443
46,5,19.267417
45,6,19.274779
49,2,19.277933
50,1,19.280034
33,18,19.323989
50,1,19.325672
33,18,19.345112
44,7,19.355119
38,13,19.368153
43,8,19.381893
45,6,19.387131
43,8,19.394444
44,7,19.402244
40,11,19.415159
50,1,19.416988
47,4,19.422023
49,2,19.424904
50,1,19.426511
39,12,19.438003
50,1,19.439776
43,8,19.449534
44,7,19.458516
37,14,19.494877
34,17,19.510615
35,16,19.530322
41,10,19.542142
44,7,19.552225
43,8,19.563094
50,1,19.56465
46,5,19.569955
40,11,19.581587
42,9,19.592879
44,7,19.600674
33,18,19.624939
50,1,19.627676
42,9,19.642798
49,2,19.645722
47,4,19.651029
47,4,19.672968
48,3,19.676291
33,18,19.694598
38,13,19.711435
49,2,19.714859
44,7,19.725117
45,6,19.733457
26,25,19.766624
41,10,19.775798
45,6,19.787894
47,4,19.793325
47,4,19.797807
38,13,19.810948
47,4,19.816296
48,3,19.820661
38,13,19.853677
37,14,19.868227
46,5,19.873654
47,4,19.877569
47,4,19.881422
50,1,19.882836
48,3,19.885883
47,4,19.889669
46,5,19.894866
48,3,19.898897
45,6,19.906307
43,8,19.916624
43,8,19.929219
50,1,19.930703
46,5,19.935253
42,9,19.945799
50,1,19.947625
49,2,19.950844
39,12,19.965434
49,2,19.967833
44,7,19.974856
49,2,19.977773
49,2,19.980608
37,14,20.015315
49,2,20.017871
49,2,20.020562
46,5,20.026302
43,8,20.035926
46,5,20.042233
44,7,20.052203
49,2,20.056298
42,9,20.069079
49,2,20.071472
45,6,20.077882
42,9,20.086893
46,5,20.09336
48,3,20.09767
41,10,20.10769
46,5,20.113272
44,7,20.121691
50,1,20.124012
48,3,20.128598
46,5,20.135987
50,1,20.138427
47,4,20.145275
42,9,20.158712
49,2,20.161449
44,7,20.168696
41,10,20.199464
45,6,20.205694
48,3,20.213568
47,4,20.21825
43,8,20.226692
49,2,20.229429
47,4,20.234478
50,1,20.236464
41,10,20.2485
35,16,20.270269
48,3,20.273376
47,4,20.277497
49,2,20.279655
50,1,20.281486
45,6,20.289246
41,10,20.302654
50,1,20.305243
